S No,User,Question No,Correct Answer,User Answer
31,spaceskaalien9,Question 7,420,"520
(11th NCERT Chp 6😁)"
31,spaceskaalien9,Question 8,option 2,option 2
31,spaceskaalien9,Question 9,759,781 
31,spaceskaalien9,Question 10,option 1,
31,spaceskaalien9,Question 11,14,16%
31,spaceskaalien9,Question 12,11,"11
(11th NCERT Chp 1 Sets Miscellaneous 😁)"
31,spaceskaalien9,Question 13,option 1,option 1
31,spaceskaalien9,Question 14,option 2,option 2
31,spaceskaalien9,Question 15,option 3,"option 3 cm
(NCERT STD 12 CHP 6😁)"
31,spaceskaalien9,Question 16,350,
31,spaceskaalien9,Question 17,1000,
31,spaceskaalien9,Question 18,10,
31,spaceskaalien9,Question 19,168,
31,spaceskaalien9,Question 20,option 2,
32,Golda.abs,Question 1,option 1,option 1
32,Golda.abs,Question 2,option 2,option 2
32,Golda.abs,Question 3,option 1,option 1
32,Golda.abs,Question 4,option 3,option 3
32,Golda.abs,Question 5,option 1,option 1
32,Golda.abs,Question 6,option 2,option 1
32,Golda.abs,Question 7,420,
32,Golda.abs,Question 8,option 2,option 3
32,Golda.abs,Question 9,759,30
32,Golda.abs,Question 10,option 1,option 2
32,Golda.abs,Question 11,14,20
32,Golda.abs,Question 12,11,11
32,Golda.abs,Question 13,option 1,option 1
32,Golda.abs,Question 14,option 2,option 2
32,Golda.abs,Question 15,option 3,option I don’t understand the wording 
32,Golda.abs,Question 16,350,Rs 380
32,Golda.abs,Question 17,1000,Rs1000
32,Golda.abs,Question 18,10,10
32,Golda.abs,Question 19,168,168
32,Golda.abs,Question 20,option 2,option 1
33,a.hong.kong.math.lover,Question 1,option 1,option 2
33,a.hong.kong.math.lover,Question 2,option 2,option 2
33,a.hong.kong.math.lover,Question 3,153,153
33,a.hong.kong.math.lover,Question 4,option 1,option 2
33,a.hong.kong.math.lover,Question 5,option 1,option 2
33,a.hong.kong.math.lover,Question 6,420,420
33,a.hong.kong.math.lover,Question 7,option 2,option 2
33,a.hong.kong.math.lover,Question 8,56,56
33,a.hong.kong.math.lover,Question 9,option 1,option 1
33,a.hong.kong.math.lover,Question 10,11,11
33,a.hong.kong.math.lover,Question 11,391,362.37
33,a.hong.kong.math.lover,Question 12,option 1,option 1
33,a.hong.kong.math.lover,Question 13,option 1,option 1
33,a.hong.kong.math.lover,Question 14,option 2,option 2
